Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
C_total,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','R_Tcell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','H_TGFb_Teff','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,,,V_T = ((C_x+C_total)*vol_cell+(CD8_exh+Th_exh+T_total)*vol_Tcell)/Ve_T+M_total*vol_Mcell/Ve_T+V_T.Fib*vol_Fibcell/Ve_T+V_T.CAF*vol_CAFcell/Ve_T+V_T.ECM*ECM_MW/ECM_density,repeatedAssignment,"['vol_cell','vol_Tcell','Ve_T','T_total','vol_Mcell','M_total','ECM_MW','ECM_density','vol_Fibcell','vol_CAFcell']","[{""name"":""V_T.CAF"",""compartment"":""V_T"",""notes"":""Number of CAFs in the tumor compartment""},{""name"":""V_T.CD8_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD8 effector T cells""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T.ECM"",""compartment"":""V_T"",""notes"":""Concentration of average ECM in tumor""},{""name"":""V_T.Fib"",""compartment"":""V_T"",""notes"":""Number of normal fibroblast in the tumor compartment""},{""name"":""V_T.Th_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD4 effector T cells""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_C.CD8 -> V_T.CD8,q_CD8_T_in*V_T*V_C.CD8*(C_total^2/(C_total^2+Kc_rec)),,,"['q_CD8_T_in','Kc_rec']","[{""name"":""V_C.CD8"",""compartment"":""V_C"",""notes"":""Number of CD8 cells in the central compartment""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_C.Th -> V_T.Th,q_Treg_T_in*V_T*V_C.Th*(C_total^2/(C_total^2+Kc_rec)),,,"['q_Treg_T_in','Kc_rec']","[{""name"":""V_C.Th"",""compartment"":""V_C"",""notes"":""Number of Th cells in the central compartment""},{""name"":""V_T.Th"",""compartment"":""V_T"",""notes"":""Number of Th cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_C.Treg -> V_T.Treg,q_Treg_T_in*V_T*V_C.Treg*(C_total^2/(C_total^2+Kc_rec)),,,"['q_Treg_T_in','Kc_rec']","[{""name"":""V_C.Treg"",""compartment"":""V_C"",""notes"":""Number of Treg cells in the central compartment""},{""name"":""V_T.Treg"",""compartment"":""V_T"",""notes"":""Number of Treg cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.C1 -> V_T.C_x,k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot),,,"['cell','Tregs_','H_PD1_C1','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','H_TGFb_Teff']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.C1 -> V_T.C_x,k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),,,"['cell','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.CAF -> null,k_cell_clear*V_T.CAF*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.CAF"",""compartment"":""V_T"",""notes"":""Number of CAFs in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.CD8 -> V_T.CD8_exh,k_CD8*V_T.CD8*C_total/(C_total+V_T.CD8+cell)*H_PD1_C1,,,"['cell','H_PD1_C1','k_CD8']","[{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.CD8_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD8 effector T cells""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.CD8 -> V_T.CD8_exh,k_cell_clear*V_T.CD8*(Kc_rec/(C_total^2+Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.CD8_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD8 effector T cells""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.Fib -> null,k_cell_clear*V_T.Fib*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.Fib"",""compartment"":""V_T"",""notes"":""Number of normal fibroblast in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.K -> null,k_K_d*V_T.K*(C_total/cell*2.57e-6)^(2/3),,,"['cell','k_K_d']","[{""name"":""V_T.K"",""compartment"":""V_T"",""notes"":""""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.MDSC -> null,k_cell_clear*V_T.MDSC*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.MDSC"",""compartment"":""V_T"",""notes"":""Number of MDSCs in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.Mac_M1 -> null,k_cell_clear*V_T.Mac_M1*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.Mac_M2 -> null,k_cell_clear*V_T.Mac_M2*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.Mac_M2"",""compartment"":""V_T"",""notes"":""Number of M2 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.Th -> V_T.Th_exh,k_cell_clear*V_T.Th*(Kc_rec/(C_total^2+Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.Th"",""compartment"":""V_T"",""notes"":""Number of Th cells in the tumor compartment""},{""name"":""V_T.Th_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD4 effector T cells""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,V_T.Treg -> null,k_cell_clear*V_T.Treg*(Kc_rec/(C_total^2+Kc_rec)),,,"['k_cell_clear','Kc_rec']","[{""name"":""V_T.Treg"",""compartment"":""V_T"",""notes"":""Number of Treg cells in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.C1,k_C1_growth*V_T.C1*(1-C_total/C_max),,,"['k_C1_growth','C_max']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.CCL2,k_CCL2_sec*C_total,,,"['k_CCL2_sec']","[{""name"":""V_T.CCL2"",""compartment"":""V_T"",""notes"":""Concentration of CCL2 in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.K,k_K_g*C_total*V_T.c_vas/(V_T.c_vas + c_vas_50),,,"['k_K_g','c_vas_50']","[{""name"":""V_T.K"",""compartment"":""V_T"",""notes"":""""},{""name"":""V_T.c_vas"",""compartment"":""V_T"",""notes"":""""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.P0,n_Treg_clones*(P0_C1*(k_C1_death+k_C1_therapy)*C1+P0_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_Treg_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P0_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P0"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P0) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.P1,n_CD8_clones*(P1_C1*(k_C1_death+k_C1_therapy)*C1+P1_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_CD8_clones','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','P1_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P1"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P1) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C_total,null -> V_T.c_vas,k_vas_Csec*C_total,,,"['k_vas_Csec']","[{""name"":""V_T.c_vas"",""compartment"":""V_T"",""notes"":""""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Chi_CTLA4_aCTLA4,syn_CD8_APC.CTLA4_aCTLA4 + syn_CD8_APC.CTLA4 <-> syn_CD8_APC.CTLA4_aCTLA4_CTLA4,2*Chi_CTLA4_aCTLA4*kon_CTLA4_aCTLA4*(syn_CD8_APC.CTLA4 * syn_CD8_APC.CTLA4_aCTLA4) -  2*koff_CTLA4_aCTLA4*syn_CD8_APC.CTLA4_aCTLA4_CTLA4,,,"['kon_CTLA4_aCTLA4','koff_CTLA4_aCTLA4']","[{""name"":""syn_CD8_APC.CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_APC.CTLA4_aCTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""syn_CD8_APC.CTLA4_aCTLA4_CTLA4"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CTLA4-aCTLA4-CTLA4 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
Chi_CTLA4_aCTLA4,syn_CD8_C1.CTLA4_aCTLA4 + syn_CD8_C1.CTLA4 <-> syn_CD8_C1.CTLA4_aCTLA4_CTLA4,2*Chi_CTLA4_aCTLA4*kon_CTLA4_aCTLA4*(syn_CD8_C1.CTLA4 * syn_CD8_C1.CTLA4_aCTLA4) -  2*koff_CTLA4_aCTLA4*syn_CD8_C1.CTLA4_aCTLA4_CTLA4,,,"['kon_CTLA4_aCTLA4','koff_CTLA4_aCTLA4']","[{""name"":""syn_CD8_C1.CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4 in synapse""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4 complex""},{""name"":""syn_CD8_C1.CTLA4_aCTLA4_CTLA4"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CTLA4-aCTLA4-CTLA4 complex""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
Chi_PD1_aPD1,syn_CD8_APC.PD1_aPD1 + syn_CD8_APC.PD1 <-> syn_CD8_APC.PD1_aPD1_PD1,Chi_PD1_aPD1*kon_PD1_aPD1*(syn_CD8_APC.PD1 * syn_CD8_APC.PD1_aPD1) -  2*koff_PD1_aPD1*syn_CD8_APC.PD1_aPD1_PD1,,,"['kon_PD1_aPD1','koff_PD1_aPD1']","[{""name"":""syn_CD8_APC.PD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1 in synapse""},{""name"":""syn_CD8_APC.PD1_aPD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1-aPD1 complex""},{""name"":""syn_CD8_APC.PD1_aPD1_PD1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PD1-aPD1-PD1 complex""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
